time,RA,DEC,AZ,D(east),I(down), H,X (north),Y (east),Z (down),F(total)
90.55,101.6534,-23.1803,-103.062,7.92575652323,59.8644138202,22577.319415,22361.6513067,3113.18210223,38892.226147,44970.441477
90.57,101.7815,-23.1553,-101.8556,7.92575652323,59.8644138202,22577.319415,22361.6513067,3113.18210223,38892.226147,44970.441477
90.59,101.9118,-23.1292,-100.6774,7.92564111465,59.8644798647,22576.4483196,22360.7948029,3113.01694663,38890.828825,44968.7956857
90.61,102.0439,-23.102,-99.487,7.92564111465,59.8644798647,22576.4483196,22360.7948029,3113.01694663,38890.828825,44968.7956857
90.63,102.1768,-23.0741,-98.2743,7.92551598482,59.8644840193,22575.6007358,22359.9621137,3112.85124263,38889.3752479,44967.1130468
90.65,102.3117,-23.0449,-97.0425,7.92552247429,59.8645472795,22575.5769925,22359.9382445,3112.8505013,38889.4332384,44967.151279
90.67,102.4485,-23.0153,-95.8282,7.92552247429,59.8645472795,22575.5769925,22359.9382445,3112.8505013,38889.4332384,44967.151279
90.69,102.5864,-22.9844,-94.6355,7.92540457843,59.8646172696,22574.705056,22359.0810416,3112.68426606,38888.0406202,44965.5091336
90.71,102.7267,-22.9524,-93.4539,7.92540457843,59.8646172696,22574.705056,22359.0810416,3112.68426606,38888.0406202,44965.5091336
90.73,102.8677,-22.9196,-92.3022,7.92528281022,59.8646200452,22573.8585778,22358.2492635,3112.52003349,38886.5867833,44963.826825
90.75,103.0109,-22.8856,-91.1238,7.92528929902,59.864683305,22573.834836,22358.225396,3112.51929203,38886.644769,44963.865054
90.77,103.1552,-22.8502,-89.9196,7.92528929902,59.864683305,22573.834836,22358.225396,3112.51929203,38886.644769,44963.865054
90.79,103.301,-22.8141,-88.7318,7.92517121242,59.8647505384,22572.9645503,22357.3698372,3112.35321699,38885.2506696,44962.2224565
90.81,103.4483,-22.7769,-87.5483,7.92517121242,59.8647505384,22572.9645503,22357.3698372,3112.35321699,38885.2506696,44962.2224565
90.83,103.5973,-22.7383,-86.3812,7.9250466755,59.8647545095,22572.1182613,22356.5383959,3112.18793724,38883.7990194,44960.542134
90.85,103.7475,-22.6992,-85.2392,7.92505269346,59.864813185,22572.0962415,22356.5162595,3112.18724939,38883.8527989,44960.57759
90.87,103.8989,-22.6577,-84.0925,7.92505269346,59.864813185,22572.0962415,22356.5162595,3112.18724939,38883.8527989,44960.57759
90.89,104.0523,-22.6166,-82.9251,7.92493180499,59.8648854524,22571.2247094,22355.6596172,3112.01991636,38882.4644053,44958.9393014
90.91,104.206,-22.5732,-81.7585,7.92493180499,59.8648854524,22571.2247094,22355.6596172,3112.01991636,38882.4644053,44958.9393014
90.93,104.3625,-22.5294,-80.5956,7.92481022091,59.8648882161,22570.3794644,22354.8290483,3111.85593985,38881.0126582,44957.2594193
