# Time,nT,Gauss
9.167000000000000171e+01, -5.257825062173014885e+04, -5.257825062173014929e-01
9.168999999999999773e+01, -5.288456113461138011e+04, -5.288456113461138530e-01
9.170999999999999375e+01, -5.317819794776647177e+04, -5.317819794776648124e-01
9.173000000000000398e+01, -5.346643858834325511e+04, -5.346643858834325691e-01
9.175000000000000000e+01, -5.376143127594485850e+04, -5.376143127594485982e-01
9.176999999999999602e+01, -5.405414574095411808e+04, -5.405414574095411817e-01
9.179000000000000625e+01, -5.433292265670202323e+04, -5.433292265670203181e-01
9.181000000000000227e+01, -5.460439769284870999e+04, -5.460439769284871625e-01
9.182999999999999829e+01, -5.486824828569124656e+04, -5.486824828569124568e-01
9.184999999999999432e+01, -5.512518134416081011e+04, -5.512518134416081184e-01
9.187000000000000455e+01, -5.537136657944924809e+04, -5.537136657944925489e-01
9.189000000000000057e+01, -5.560741157581426523e+04, -5.560741157581426952e-01
9.190999999999999659e+01, -5.584787978915112035e+04, -5.584787978915112250e-01
9.193000000000000682e+01, -5.608289634115348599e+04, -5.608289634115348754e-01
9.195000000000000284e+01, -5.631060659833460522e+04, -5.631060659833461157e-01
9.196999999999999886e+01, -5.750973577401100192e+04, -5.750973577401100600e-01
9.209000000000000341e+01, -5.768261710653659247e+04, -5.768261710653659335e-01
9.210999999999999943e+01, -5.785338223088090308e+04, -5.785338223088091203e-01
9.212999999999999545e+01, -5.801741308631075663e+04, -5.801741308631076510e-01
9.215000000000000568e+01, -5.817219884597533382e+04, -5.817219884597534252e-01
9.217000000000000171e+01, -5.831775706147666642e+04, -5.831775706147667160e-01
9.218999999999999773e+01, -5.845348904135415796e+04, -5.845348904135416745e-01
9.220999999999999375e+01, -5.858534995175852964e+04, -5.858534995175853632e-01
9.223000000000000398e+01, -5.871350765002296248e+04, -5.871350765002296690e-01
9.225000000000000000e+01, -5.883695405419474992e+04, -5.883695405419475666e-01
9.226999999999999602e+01, -5.894899578488592670e+04, -5.894899578488592695e-01
9.229000000000000625e+01, -5.905155688513904170e+04, -5.905155688513904488e-01
9.231000000000000227e+01, -5.915050995101015724e+04, -5.915050995101016618e-01
9.232999999999999829e+01, -5.923990636732313578e+04, -5.923990636732313630e-01
9.234999999999999432e+01, -5.932303226411255309e+04, -5.932303226411256292e-01
9.237000000000000455e+01, -5.939972112977247889e+04, -5.939972112977248697e-01
9.239000000000000057e+01, -5.946858878597924922e+04, -5.946858878597925946e-01
9.240999999999999659e+01, -5.953378244816615916e+04, -5.953378244816616149e-01
9.243000000000000682e+01, -5.958988696431158314e+04, -5.958988696431158916e-01
9.245000000000000284e+01, -5.964217162623124750e+04, -5.964217162623125512e-01
9.246999999999999886e+01, -5.968786135637884581e+04, -5.968786135637884627e-01
9.248999999999999488e+01, -5.972546752568143711e+04, -5.972546752568144157e-01
9.251000000000000512e+01, -5.975704895865331491e+04, -5.975704895865332489e-01
9.253000000000000114e+01, -5.978001122126647533e+04, -5.978001122126648248e-01
9.254999999999999716e+01, -5.979890316903192434e+04, -5.979890316903192504e-01
9.256999999999999318e+01, -5.981290349240841169e+04, -5.981290349240842019e-01
9.259000000000000341e+01, -5.981846589116496762e+04, -5.981846589116497359e-01
9.260999999999999943e+01, -5.982048172999625240e+04, -5.982048172999625546e-01
9.262999999999999545e+01, -5.981396596656060865e+04, -5.981396596656061160e-01
9.265000000000000568e+01, -5.980419764637453045e+04, -5.980419764637453506e-01
9.267000000000000171e+01, -5.978815176118826639e+04, -5.978815176118826846e-01
9.268999999999999773e+01, -5.976446188463885483e+04, -5.976446188463886422e-01
9.270999999999999375e+01, -5.973740011073092319e+04, -5.973740011073093159e-01
9.273000000000000398e+01, -5.970276745870940067e+04, -5.970276745870940482e-01
9.275000000000000000e+01, -5.966461914540246653e+04, -5.966461914540247546e-01
9.276999999999999602e+01, -5.962039448111475212e+04, -5.962039448111475792e-01
9.279000000000000625e+01, -5.956872008748036023e+04, -5.956872008748036462e-01
9.281000000000000227e+01, -5.951456024764248286e+04, -5.951456024764248953e-01
9.282999999999999829e+01, -5.945346276342762576e+04, -5.945346276342763359e-01
9.284999999999999432e+01, -5.938901163549598277e+04, -5.938901163549599183e-01
9.287000000000000455e+01, -5.932004045095910260e+04, -5.932004045095911060e-01
9.289000000000000057e+01, -5.924553376952109829e+04, -5.924553376952110817e-01
9.290999999999999659e+01, -5.916830549764585885e+04, -5.916830549764586777e-01
9.293000000000000682e+01, -5.908317615384561213e+04, -5.908317615384561794e-01
9.295000000000000284e+01, -5.899514831626469822e+04, -5.899514831626470057e-01
9.296999999999999886e+01, -5.890199045886566455e+04, -5.890199045886567175e-01
9.298999999999999488e+01, -5.880432057123937557e+04, -5.880432057123937684e-01
9.301000000000000512e+01, -5.870476437007701315e+04, -5.870476437007702275e-01
9.303000000000000114e+01, -5.859823151142879215e+04, -5.859823151142879993e-01
9.304999999999999716e+01, -5.849020815788707114e+04, -5.849020815788708028e-01
9.306999999999999318e+01, -5.837802163882421155e+04, -5.837802163882421791e-01
9.309000000000000341e+01, -5.826324273273825384e+04, -5.826324273273826293e-01
9.310999999999999943e+01, -5.814534434172815236e+04, -5.814534434172815569e-01
9.312999999999999545e+01, -5.802144257011987065e+04, -5.802144257011987438e-01
9.315000000000000568e+01, -5.789260970533599175e+04, -5.789260970533599560e-01
9.317000000000000171e+01, -5.775899293617236253e+04, -5.775899293617237085e-01
9.318999999999999773e+01, -5.762139051331987866e+04, -5.762139051331988115e-01
9.320999999999999375e+01, -5.748630942656129628e+04, -5.748630942656129950e-01
9.323000000000000398e+01, -5.734272248985886108e+04, -5.734272248985886611e-01
9.325000000000000000e+01, -5.719677119197828142e+04, -5.719677119197829063e-01
9.326999999999999602e+01, -5.704869846582780156e+04, -5.704869846582780735e-01
9.329000000000000625e+01, -5.689636100902120961e+04, -5.689636100902121241e-01
9.331000000000000227e+01, -5.674313618031601072e+04, -5.674313618031601170e-01
9.332999999999999829e+01, -5.658454503922793810e+04, -5.658454503922794032e-01
9.334999999999999432e+01, -5.642203454436990432e+04, -5.642203454436990340e-01
9.337000000000000455e+01, -5.625501579720084555e+04, -5.625501579720084688e-01
9.339000000000000057e+01, -5.608338028344442137e+04, -5.608338028344442838e-01
9.340999999999999659e+01, -5.591364563925760740e+04, -5.591364563925761422e-01
9.343000000000000682e+01, -5.574025564095393929e+04, -5.574025564095393959e-01
